./20170602062549266.png:   PNG image data, 37 x 33, 8-bit grayscale, non-interlaced
./20170602062613179.png:   PNG image data, 42 x 41, 8-bit grayscale, non-interlaced
./20170602062617767.png:   PNG image data, 31 x 32, 8-bit grayscale, non-interlaced
./20170602062635426.png:   PNG image data, 48 x 46, 8-bit grayscale, non-interlaced
./20170602062652702a.png:  PNG image data, 199 x 84, 8-bit grayscale, non-interlaced
./20170602062817326.png:   PNG image data, 68 x 83, 8-bit grayscale, non-interlaced
./20170602062826274.png:   PNG image data, 34 x 31, 8-bit grayscale, non-interlaced
./20170602062927185.png:   PNG image data, 33 x 29, 8-bit grayscale, non-interlaced
./20170602062928722.png:   PNG image data, 24 x 22, 8-bit grayscale, non-interlaced
./20170602062930053.png:   PNG image data, 32 x 30, 8-bit grayscale, non-interlaced
./20170602062939077.png:   PNG image data, 23 x 23, 8-bit grayscale, non-interlaced
./20170602062941868.png:   PNG image data, 30 x 30, 8-bit grayscale, non-interlaced
./20170602062943424.png:   PNG image data, 20 x 21, 8-bit grayscale, non-interlaced
./20170602063010511.png:   PNG image data, 45 x 44, 8-bit grayscale, non-interlaced
./20170602063047446.png:   PNG image data, 27 x 22, 8-bit grayscale, non-interlaced
./20170602063118564.png:   PNG image data, 43 x 68, 8-bit grayscale, non-interlaced
./20170602063153826.png:   PNG image data, 36 x 35, 8-bit grayscale, non-interlaced
./20170602063213128.png:   PNG image data, 25 x 25, 8-bit grayscale, non-interlaced
./20170602063235261.png:   PNG image data, 38 x 37, 8-bit grayscale, non-interlaced
./20170602063323620.png:   PNG image data, 28 x 24, 8-bit grayscale, non-interlaced
./20170602063334094.png:   PNG image data, 30 x 27, 8-bit grayscale, non-interlaced
./20170602063341594.png:   PNG image data, 16 x 15, 8-bit grayscale, non-interlaced
./20170602063343120.png:   PNG image data, 39 x 38, 8-bit grayscale, non-interlaced
./20170602063353024.png:   PNG image data, 33 x 29, 8-bit grayscale, non-interlaced
./20170602063423825.png:   PNG image data, 29 x 26, 8-bit grayscale, non-interlaced
./20170602063635036.png:   PNG image data, 19 x 20, 8-bit grayscale, non-interlaced
./20170602063650880.png:   PNG image data, 35 x 35, 8-bit grayscale, non-interlaced
./20170602063659367.png:   PNG image data, 45 x 41, 8-bit grayscale, non-interlaced
./20170602063702241.png:   PNG image data, 89 x 92, 8-bit grayscale, non-interlaced
./20170602063712554.png:   PNG image data, 29 x 35, 8-bit grayscale, non-interlaced
./20170602063814331.png:   PNG image data, 45 x 42, 8-bit grayscale, non-interlaced
./20170602063820240.png:   PNG image data, 15 x 11, 8-bit grayscale, non-interlaced
./20170602063829097.png:   PNG image data, 25 x 26, 8-bit grayscale, non-interlaced
./20170602064023885.png:   PNG image data, 22 x 25, 8-bit grayscale, non-interlaced
./20170602064036867.png:   PNG image data, 19 x 20, 8-bit grayscale, non-interlaced
./20170602064102916.png:   PNG image data, 31 x 30, 8-bit grayscale, non-interlaced
./20170602064110305.png:   PNG image data, 35 x 32, 8-bit grayscale, non-interlaced
./20170602064233009.png:   PNG image data, 20 x 21, 8-bit grayscale, non-interlaced
./20170602064234548.png:   PNG image data, 22 x 22, 8-bit grayscale, non-interlaced
./20170602064256536.png:   PNG image data, 46 x 21, 8-bit grayscale, non-interlaced
./20170602064309110.png:   PNG image data, 16 x 16, 8-bit grayscale, non-interlaced
./20170602064355598.png:   PNG image data, 38 x 38, 8-bit grayscale, non-interlaced
./20170602064400008.png:   PNG image data, 48 x 45, 8-bit grayscale, non-interlaced
./20170602064440444.png:   PNG image data, 31 x 30, 8-bit grayscale, non-interlaced
./20170602064453722.png:   PNG image data, 19 x 17, 8-bit grayscale, non-interlaced
./20170602064549740.png:   PNG image data, 25 x 25, 8-bit grayscale, non-interlaced
./20170602064616656.png:   PNG image data, 37 x 34, 8-bit grayscale, non-interlaced
